split,model,R2,RMSE,AARE
train,SCAM,-4.681781102387403,72.40860843898557,60.63948560593102
train,ANN,0.9807093739509583,8.011780647920325,9.800235748291016
train,PGNN,0.9924986958503723,4.9960173958199885,4.525874137878418
train,PGNN+λA,0.9942525625228882,4.373133451926032,3.8475255966186523
val,SCAM,-2.997935505839914,60.40647662044366,55.466848650333425
val,ANN,0.9542008638381958,12.373464778114268,9.700521469116211
val,PGNN,0.9590232372283936,11.7039242154508,5.33892822265625
val,PGNN+λA,0.9603018164634705,11.519879614942747,4.716475963592529
test,SCAM,-4.185263226743178,68.99604908859145,53.990064291230276
test,ANN,0.9388507604598999,13.638507272250669,12.23557186126709
test,PGNN,0.943906307220459,13.062563663309275,8.277710914611816
test,PGNN+λA,0.9474863409996033,12.63884316087958,7.331932544708252
