condition,T_C,strain_rate,split,n_pts,model,R2,RMSE,AARE
RT-0_001,25,0.001,train,41,SCAM,,,
RT-0_001,25,0.001,train,41,ANN,0.9896557893187434,5.203064585656617,2.54116868814414
RT-0_001,25,0.001,train,41,PGNN,0.9937256941088723,4.052223419656644,2.0782173374323016
RT-0_001,25,0.001,train,41,PGNN+λA,0.995223145500493,3.5357499568413853,1.8531800225609858
RT-0_001,25,0.001,val,8,SCAM,,,
RT-0_001,25,0.001,val,8,ANN,0.9982054667988102,2.0482447233471373,0.9034935713188603
RT-0_001,25,0.001,val,8,PGNN,0.9971842259137528,2.565694833868548,1.051562218376698
RT-0_001,25,0.001,val,8,PGNN+λA,0.9958649702945961,3.1091767591969406,1.6021279154062738
RT-0_001,25,0.001,test,10,SCAM,,,
RT-0_001,25,0.001,test,10,ANN,-0.3906446234486258,67.01769744358525,84.8371669348057
RT-0_001,25,0.001,test,10,PGNN,-0.4161334863943442,67.62908602433406,85.56841982859758
RT-0_001,25,0.001,test,10,PGNN+λA,-0.3837415173740002,66.8511538796858,84.91372757351311
RT-0_01,25,0.01,train,42,SCAM,,,
RT-0_01,25,0.01,train,42,ANN,0.7409180513671666,27.223233456543493,34.86192421261056
RT-0_01,25,0.01,train,42,PGNN,0.9000587706246341,16.908048067205307,18.082861706652714
RT-0_01,25,0.01,train,42,PGNN+λA,0.9141519610812426,15.670625052687832,19.277671168906128
RT-0_01,25,0.01,val,9,SCAM,,,
RT-0_01,25,0.01,val,9,ANN,0.9947187427814927,4.0724838404345345,2.299253824816813
RT-0_01,25,0.01,val,9,PGNN,0.9978953972915691,2.570844284072309,1.8915531555759344
RT-0_01,25,0.01,val,9,PGNN+λA,0.99166240990918,5.11694771763016,3.481234981732359
RT-0_01,25,0.01,test,10,SCAM,,,
RT-0_01,25,0.01,test,10,ANN,0.9923413146318211,3.9046406055222285,1.697592703231015
RT-0_01,25,0.01,test,10,PGNN,0.9966167166398399,2.5952137800347335,1.5306691378033204
RT-0_01,25,0.01,test,10,PGNN+λA,0.9984024919482777,1.7833043955486196,0.9731172321103206
RT-0_1,25,0.1,train,48,SCAM,,,
RT-0_1,25,0.1,train,48,ANN,0.9090234105671948,22.771463146244024,6.257111172914008
RT-0_1,25,0.1,train,48,PGNN,0.9547465701262812,16.060233718011855,3.709279463609346
RT-0_1,25,0.1,train,48,PGNN+λA,0.9666049779414796,13.796438136221527,3.644905556382235
RT-0_1,25,0.1,val,10,SCAM,,,
RT-0_1,25,0.1,val,10,ANN,0.9507690642757233,15.05016564160814,71.24551393373635
RT-0_1,25,0.1,val,10,PGNN,0.9624267429173261,13.148059373810685,63.266179524042855
RT-0_1,25,0.1,val,10,PGNN+λA,0.973625874918398,11.01567883203647,52.766695398425576
RT-0_1,25,0.1,test,11,SCAM,,,
RT-0_1,25,0.1,test,11,ANN,0.9985286951461182,1.4459791907009996,0.7900769880659668
RT-0_1,25,0.1,test,11,PGNN,0.9961917760945783,2.3263333493694196,1.0803613964903533
RT-0_1,25,0.1,test,11,PGNN+λA,0.9964518374465735,2.2454969174278316,1.067653789307685
150-0_001,150,0.001,train,32,SCAM,,,
150-0_001,150,0.001,train,32,ANN,0.9797793360926506,6.894761401866296,11.401883776395888
150-0_001,150,0.001,train,32,PGNN,0.9911616661915889,4.558340219636944,7.27761848036354
150-0_001,150,0.001,train,32,PGNN+λA,0.9968901465414198,2.7039054350800846,3.3846614778224553
150-0_001,150,0.001,val,6,SCAM,,,
150-0_001,150,0.001,val,6,ANN,0.9932460913387181,1.3272513574268885,0.696369869939499
150-0_001,150,0.001,val,6,PGNN,0.9809664492278687,2.22810418384341,0.9013033469311033
150-0_001,150,0.001,val,6,PGNN+λA,0.9868286382473533,1.8534928950649499,0.7584585232848351
150-0_001,150,0.001,test,8,SCAM,,,
150-0_001,150,0.001,test,8,ANN,0.9891948564396105,4.93170659787337,3.870528821883083
150-0_001,150,0.001,test,8,PGNN,0.9910512877513014,4.4880969742044945,2.7102343108809857
150-0_001,150,0.001,test,8,PGNN+λA,0.9979185623744037,2.1645302567532565,0.9643911322674524
150-0_01,150,0.01,train,34,SCAM,,,
150-0_01,150,0.01,train,34,ANN,0.9808787810884266,5.972678859593072,6.294619619202455
150-0_01,150,0.01,train,34,PGNN,0.9907019528620865,4.1649256125638585,4.735113517933799
150-0_01,150,0.01,train,34,PGNN+λA,0.9914986854665625,3.982487484316661,3.6514816616377255
150-0_01,150,0.01,val,7,SCAM,,,
150-0_01,150,0.01,val,7,ANN,-0.35260513449657704,73.82538115913803,1.517981824085924
150-0_01,150,0.01,val,7,PGNN,-0.2784732398115992,71.77381039916597,0.9205599353774652
150-0_01,150,0.01,val,7,PGNN+λA,-0.2600209305016268,71.25396920284602,1.0902749172975221
150-0_01,150,0.01,test,8,SCAM,,,
150-0_01,150,0.01,test,8,ANN,0.9431300641013166,9.661330113262117,6.912012512168311
150-0_01,150,0.01,test,8,PGNN,0.9964101771351085,2.427348100004385,1.6913453743000357
150-0_01,150,0.01,test,8,PGNN+λA,0.9892769906734203,4.195211824048266,3.1991791936202074
150-0_1,150,0.1,train,39,SCAM,,,
150-0_1,150,0.1,train,39,ANN,0.948760335867956,12.042276343436576,2.533984272073556
150-0_1,150,0.1,train,39,PGNN,0.9916353338240931,4.865525562896358,0.7869358265713907
150-0_1,150,0.1,train,39,PGNN+λA,0.9927668901920982,4.524472793361991,1.5816560877887051
150-0_1,150,0.1,val,8,SCAM,,,
150-0_1,150,0.1,val,8,ANN,0.9944210621200986,5.00430399214816,2.4897941947636615
150-0_1,150,0.1,val,8,PGNN,0.9945533699287243,4.944607923375085,1.418977715401011
150-0_1,150,0.1,val,8,PGNN+λA,0.9946818735069478,4.885930129979072,1.4277119619935066
150-0_1,150,0.1,test,10,SCAM,,,
150-0_1,150,0.1,test,10,ANN,0.869587334475134,26.99836388887623,51.47264104016484
150-0_1,150,0.1,test,10,PGNN,0.895256331542185,24.19588160992907,45.55631681020469
150-0_1,150,0.1,test,10,PGNN+λA,0.9251817260695021,20.449439227124458,34.87542816425508
250-0_001,250,0.001,train,55,SCAM,-20.025467357937774,75.3701839465972,47.55975433442468
250-0_001,250,0.001,train,55,ANN,0.9152890018345621,4.959006388689449,11.91408499013089
250-0_001,250,0.001,train,55,PGNN,0.9543784938157666,3.6392306195511015,7.7020517177780565
250-0_001,250,0.001,train,55,PGNN+λA,0.9703524730218058,2.9337223178126517,5.770770660886027
250-0_001,250,0.001,val,11,SCAM,-37.97309129611307,54.87215645188941,38.94248815122369
250-0_001,250,0.001,val,11,ANN,0.9415153810956682,1.9971800209892727,1.887296981503138
250-0_001,250,0.001,val,11,PGNN,0.9565328242481228,1.7217777541164254,1.6567163661639077
250-0_001,250,0.001,val,11,PGNN+λA,0.9789688763909481,1.1976436569803688,1.445458075997867
250-0_001,250,0.001,test,13,SCAM,-64.8188211705486,40.80012798618814,23.01680113877699
250-0_001,250,0.001,test,13,ANN,0.9886235136824297,1.1562633749743547,1.2654964193806628
250-0_001,250,0.001,test,13,PGNN,0.986661654393916,1.251998123860585,1.4036226734239634
250-0_001,250,0.001,test,13,PGNN+λA,0.9825510333048643,1.4319819767493278,1.7686481448885178
250-0_01,250,0.01,train,56,SCAM,-10.846753960252558,73.7188127398047,37.30523975655258
250-0_01,250,0.01,train,56,ANN,0.919685865544181,7.42486689548254,9.884350558883177
250-0_01,250,0.01,train,56,PGNN,0.9744825685272277,4.185151264984285,6.871594546244762
250-0_01,250,0.01,train,56,PGNN+λA,0.9874768816349799,2.931898447838104,4.355430695160847
250-0_01,250,0.01,val,12,SCAM,-17.843890254800215,60.888171086569976,31.679873254310287
