config,seed,r2,rmse,aare
baseline,42,0.9792113304138184,8.437797484628412,10.222905158996582
mono,42,0.9420469999313354,14.088138520495043,11.486503601074219
baseline,1,0.9390698671340942,14.600329335299898,11.195174217224121
mono,1,0.9674097895622253,10.678004993884114,7.474008083343506
baseline,2,0.9806540608406067,8.084622100132641,4.4208526611328125
mono,2,0.975372314453125,9.121715633912133,4.852941989898682
baseline,3,0.9221860766410828,16.633151931130268,9.098736763000488
mono,3,0.9208030104637146,16.7803216034507,11.09853744506836
baseline,4,0.9887983202934265,6.13590779521951,5.489964008331299
mono,4,0.9872762560844421,6.5395052633479445,7.296774387359619
baseline,5,0.9856088161468506,6.9876207153593235,8.026373863220215
mono,5,0.9701080322265625,10.070678041392194,10.4818754196167
baseline,6,0.9578831791877747,11.793912604039372,4.977474212646484
mono,6,0.9565759301185608,11.975545124555852,4.902324199676514
baseline,7,0.9914684295654297,5.170279357564145,3.7715375423431396
mono,7,0.9856759309768677,6.699349716285436,3.467588186264038
