config,seed,holdout_T,r2,rmse,aare
baseline,42,250,0.4282605051994324,26.65262628321961,19.622373580932617
baseline,42,300,0.6212100982666016,16.107870777249317,8.820273399353027
baseline,42,350,0.4238808751106262,15.288475153990332,15.636533737182617
baseline,42,400,0.7013231515884399,8.277599984235977,9.764758110046387
baseline,42,450,0.8886903524398804,3.578933557832131,10.887174606323242
baseline,1,250,0.4860708713531494,25.269259217986214,15.512556076049805
baseline,1,300,0.6192851066589355,16.148748371765826,9.6183443069458
baseline,1,350,0.4317413568496704,15.183819862607603,15.432310104370117
baseline,1,400,0.8757533431053162,5.338829050159881,9.273781776428223
baseline,1,450,0.9040154218673706,3.323440478583159,10.104541778564453
baseline,2,250,0.6648621559143066,20.405753487451154,15.570998191833496
baseline,2,300,0.5409109592437744,17.73321083045656,11.501460075378418
baseline,2,350,0.38392823934555054,15.809701785050423,19.173824310302734
baseline,2,400,0.7336467504501343,7.816865967552949,11.91292953491211
baseline,2,450,0.8701300024986267,3.8658198240460333,12.874423027038574
baseline,3,250,0.5394461154937744,23.9210993505864,18.07735824584961
baseline,3,300,0.5138661861419678,18.248066002779495,9.323039054870605
baseline,3,350,0.43650275468826294,15.120074518413684,15.452125549316406
baseline,3,400,0.8718605041503906,5.42182152801442,10.42538833618164
baseline,3,450,0.8943447470664978,3.486845363854076,12.116805076599121
baseline,4,250,0.5616115927696228,23.33836455825271,17.677196502685547
baseline,4,300,0.5649293661117554,17.263100777018593,8.548309326171875
baseline,4,350,0.432656466960907,15.171589370380334,16.338773727416992
baseline,4,400,0.8782318234443665,5.285311068616588,9.648059844970703
baseline,4,450,0.8635338544845581,3.962777517329918,13.897778511047363
baseline,5,250,0.6856335997581482,19.763277250637024,15.093549728393555
baseline,5,300,0.5637471675872803,17.286539051326812,7.615204334259033
baseline,5,350,0.4254109263420105,15.268160153651095,15.587175369262695
baseline,5,400,0.8150944709777832,6.512962620681058,11.352019309997559
baseline,5,450,0.8932684659957886,3.5045604966817656,13.594145774841309
baseline,6,250,0.5661407709121704,23.217492132398124,18.09628677368164
baseline,6,300,0.523811936378479,18.060433556642714,8.396501541137695
baseline,6,350,0.4615465998649597,14.780260500541496,15.090743064880371
baseline,6,400,0.8295581340789795,6.2530482678755055,10.069482803344727
baseline,6,450,0.8371155261993408,4.329392891273191,15.036111831665039
baseline,7,250,0.33926594257354736,28.651953654893894,21.54393196105957
baseline,7,300,0.49693524837493896,18.56311568449692,10.353171348571777
baseline,7,350,0.41198641061782837,15.445490819184343,18.026615142822266
baseline,7,400,0.780238926410675,7.100338199781016,11.111649513244629
baseline,7,450,0.9178116917610168,3.075333467095543,10.215944290161133
mono,42,250,0.35871434211730957,28.227125781467947,21.181682586669922
mono,42,300,0.7594465613365173,12.836442711071061,7.900031089782715
mono,42,350,0.4126250743865967,15.43710017748309,15.31120491027832
mono,42,400,0.8738358020782471,5.3798697833784415,9.509387016296387
mono,42,450,0.9182372093200684,3.0673624479485566,11.436518669128418
mono,1,250,0.5326199531555176,24.097721786768556,16.314889907836914
mono,1,300,0.5644984245300293,17.271648588675696,8.743096351623535
mono,1,350,0.44352275133132935,15.025596649967015,16.013986587524414
mono,1,400,0.8508530855178833,5.849391886086256,9.799405097961426
mono,1,450,0.890936017036438,3.5426466689238714,12.215177536010742
mono,2,250,0.47340482473373413,25.578750183257586,18.463573455810547
mono,2,300,0.5881322622299194,16.7964616591584,9.811450958251953
mono,2,350,0.4328077435493469,15.169566174252942,16.166969299316406
mono,2,400,0.8110083937644958,6.584532165824193,9.966065406799316
mono,2,450,0.8596556782722473,4.018690786919185,9.956759452819824
mono,3,250,0.78569096326828,16.31778231045046,13.032658576965332
mono,3,300,0.5538407564163208,17.481707794774373,10.011636734008789
mono,3,350,0.45289498567581177,14.898528140291923,15.459433555603027
mono,3,400,0.843064546585083,6.000178970210851,10.80136489868164
mono,3,450,0.9290896058082581,2.8565518142538724,10.833719253540039
mono,4,250,0.615302562713623,21.862536209277117,15.431184768676758
mono,4,300,0.580669641494751,16.94794617759544,8.741097450256348
mono,4,350,0.46396011114120483,14.747098475705261,15.635396957397461
mono,4,400,0.8254703283309937,6.327589374997716,10.144553184509277
mono,4,450,0.9615525603294373,2.1033947979893113,7.000051975250244
mono,5,250,0.7154381275177002,18.803091338832676,14.306161880493164
mono,5,300,0.5537692904472351,17.483107779144632,8.419571876525879
mono,5,350,0.4386058449745178,15.091832641385404,15.272758483886719
mono,5,400,0.8527969121932983,5.811151163430382,9.732499122619629
mono,5,450,0.8970690965652466,3.441597455847459,13.258049964904785
mono,6,250,0.7317091226577759,18.257606070987492,13.338356971740723
mono,6,300,0.5386170744895935,17.777458336397352,9.705748558044434
mono,6,350,0.46081167459487915,14.790343376749183,15.748519897460938
mono,6,400,0.8733126521110535,5.391011542130817,9.167434692382812
mono,6,450,0.7953729033470154,4.852535819737546,17.150146484375
mono,7,250,0.6513450145721436,20.813197951885602,16.405075073242188
mono,7,300,0.5454750657081604,17.644842138754388,9.955122947692871
mono,7,350,0.47347456216812134,14.615635669729642,15.79265308380127
mono,7,400,0.7825852036476135,7.062333096582874,11.042783737182617
mono,7,450,0.9076992869377136,3.2590398511905234,11.603336334228516
